autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde;Jaar;jaar planning;monitoringsvolgorde;adres;afgedrukt?;kopies digitaal document opgemaakt;met 2;versie veldprotocol;waterranonkels;TypischeSoorten;datum veldbezoek;jaar monitoring;doelhabitat;invoerwijze;klasse;reden geen bemonstering/ongeschikt;opmerking;"Ingevoerd in INBOVEG:1=ja; 0=nee";user_reference;SchaduwRS8m;Meermaals bezocht per jaar;locatie SO of SA verschoven (xy aangepast tov origineel aangereikt meetpunt, volgens protocol);SchaduwBoom (uit inboveg);lengte duiker/brug (uit inboveg);lengte bodemplaat (uit inboveg);werk nodig;;;;;
1;Berwijn_01;329;1_4_329;BERWIJN;>50;1;Limburg;243642;161000,4;6,785058;88754;>10;2;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;13/07/2015;2015;3260;analoog;uitval (ongeschikt);permanent ongeschikt: bodemplaat en overwelving;;1;#NAAM?;0,02;;nee;20;16;40;;;;;;
2;Berwijn_02;320;1_4_320;BERWIJN;>50;1;Limburg;242974,1;161358,8;0,826573;391346;>10;6;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;13/07/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,16;;nee;20;0;0;;;;;;
3;DesNe_01;853;1_4_853;DESSELSE NEET;10-50;1;Antwerpen;200563;215904;17,6789;494838;>10;8;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;6/07/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,16;;nee;25;0;0;;;;;;
4;Dommel_05;783;1_4_783;DOMMEL;>50;1;Limburg;223428,5;215626;8,062744;63762;>10;1;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;25/06/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,10;;nee;3;0;0;;;;;;
5;GieBe_01;943;1_4_943;GIELISBEEK;<10;1;Limburg;228327,8;200816,7;10,54935;407506;<10;1;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/06/2015;2015;gh;analoog;uitval (gh);;;1;#NAAM?;0,46;;nee;15;0;0;;;;;;
6;GroNe_01;1583;1_4_1583;GROTE NETE;10-50;1;Antwerpen;210667;206049,5;18,40257;157302;>10;4;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;6/07/2015;2015;gh;analoog;uitval (gh);;;1;#NAAM?;0,28;;nee;15;0;0;;;;;;
7;KleNe_06;618;1_4_618;KLEINE NETE;>50;1;Antwerpen;185944,6;209539,2;12,02004;116470;>10;3;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;26/06/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;1;0;0;;;;;;
8;LoeNe_01;1309;1_4_1309;LOEIJENS NEETJE;10-50;0;Antwerpen;196022,7;215574,4;10,78798;378102;>10;1;1;2015;nvt;Schildpaddenweg, Kasterlee;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;6/07/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,07;;nee;20;0;0;;;;;;
9;NooBe_01;1017;1_4_1017;NOORBEEK;<10;1;Limburg;249817,2;162401,2;13,63264;728498;<10;2;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;13/07/2015;2015;gh;analoog;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
10;NooMa_02;1088;1_4_1088;GELSLOOPKE;<10;1;Antwerpen;186945,5;232226,8;11,96511;1047854;<10;3;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;18/06/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,76;;nee;0;0;0;;;;;;
11;WalBo_01;1690;1_4_1690;;<10;1;Vlaams-Brabant;186150,7;180314,8;15,59493;1150886;<10;4;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;28/08/2015;2015;3260;analoog;mon3260;;;1;#NAAM?;0,30;;nee;25;0;0;;;;;;
12;WalBo_01;1690;1_4_1690;;<10;1;Vlaams-Brabant;186150,7;180314,8;15,59493;1150886;<10;4;1;2015;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/06/2015;2015;3260;analoog;niet meetellen (2x bezocht);;;1;#NAAM?;0,30;;nee;0;0;0;;;;;;
13;BosBe_01;674;1_4_674;BOSBEEK;10-50;1;Limburg;236314,5;191366,3;8,423581;559698;>10;9;2;2016;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;25/06/2015;2015;3260;analoog;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,69;;nee;95;0;0;;;;;;
14;BriLo_01;1413;1_4_1413;BRISDILLOOP;10-50;1;Antwerpen;209162,9;204312,8;17,07755;620406;>10;10;2;2016;5;Nachtegaalstraat, Balen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;28/07/2016;2016;ongekend (geen opname);analoog;uitval (ongeschikt);permanent ongeschikt: bodemplaat en overwelving. traject so en sa ook ongeschikt;;1;#NAAM?;0,09;;nee;;10;100;;;;;;
15;BriLo_04;872;1_4_872;BRISDILLOOP;<10;1;Antwerpen;210232,6;204881,6;6,070803;2357110;<10;6;2;2016;3;Emiel De Baecklaan, Balen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;28/07/2016;2016;gh;analoog;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,83;;nee;40;0;0;;;;;;
16;DesNe_02;851;1_4_851;DESSELSE NEET;10-50;1;Antwerpen;200411,8;215822,2;1,795515;756982;>10;12;2;2016;5;Molenhei, Dessel;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;4/08/2016;2016;ongekend (geen opname);analoog;niet meetellen (2x bezocht);tijdelijk ongeschikt: te hoge waterstand;;1;#NAAM?;0,00;ja;nee;;0;0;;;;;;
17;DesNe_02;851;1_4_851;DESSELSE NEET;10-50;1;Antwerpen;200411,8;215822,2;1,795515;756982;>10;12;2;2016;;Molenhei, Dessel;ja;nvt;ja;voorloper van versie 1.0;;;26/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,00;ja;nee;1;0;0;;;;;;
18;Dommel_04;102;1_4_102;DOMMEL;>50;1;Limburg;223114,7;216335,9;13,21199;784658;>10;14;2;2016;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;25/06/2015;2015;gh;analoog;uitval (gh);;;1;#NAAM?;0,01;;nee;7;0;0;;;;;;
19;Dommel_08;899;1_4_899;DOMMEL;>50;1;Limburg;224594,6;208014,2;10,99132;678674;>10;11;2;2016;6;Kleinmolenstraat, Overpelt;ja;nvt;nee;voorloper van versie 1.0;;;8/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,29;;nee;3;1;0;;;;;;
20;GieBe_02;942;1_4_942;GIELISBEEK;<10;1;Limburg;228390,1;200878,9;8,542254;2701266;<10;8;2;2016;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/06/2015;2015;gh;analoog;uitval (gh);;;1;#NAAM?;0,03;;nee;10;0;0;;;;;;
21;GouLo_08;814;1_4_814;GOUWBERGSE LOOP;<10;1;Antwerpen;180437;243133,3;17,43611;1391710;<10;5;2;2016;7;Strijbeek, Hoogstraten;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,21;;nee;1;0;0;;;;;;
22;GouLo_12;806;1_4_806;GOUWBERGSE LOOP;<10;1;Antwerpen;179905,6;243386,6;13,14143;2485086;<10;7;2;2016;7;Strijbeek, Hoogstraten;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;1;2;0;;;;;;
