polygon_id;point_code_vervang;grts_ranking;rank_rel_polygon;rank_rel_buffer;x;y
103080_v2014;1285121_1;23763968;1;1;56605,59;211950,11
103080_v2014;1285121_1;45587456;2;2;56573,59;211918,11
103080_v2014;1285121_1;57318400;3;3;56637,59;211950,11
121306_v2014;2034782_1;7801950;1;1;179005,59;242926,11
121306_v2014;2034782_1;16190558;2;2;179069,59;242926,11
121306_v2014;2034782_1;32967774;3;3;179037,59;242958,11
121306_v2014;2034782_1;35589216;4;4;179037,59;242862,11
121306_v2014;2034782_1;45550688;5;5;179069,59;242990,11
121306_v2014;2034782_1;49744992;6;6;179069,59;242958,11
121306_v2014;2034782_1;60755040;7;7;179037,59;242830,11
121306_v2014;2034782_1;66522208;8;8;179037,59;242926,11
301444_v2016;1032326_1;5226630;1;1;179517,59;181966,11
309192_v2020;802950_1;1130630;1;1;178173,59;182734,11
309192_v2020;802950_1;2031750;2;2;178269,59;182766,11
309192_v2020;802950_1;30163078;3;3;178205,59;182734,11
309192_v2020;802950_1;31391878;4;4;178205,59;182766,11
309192_v2020;802950_1;34537608;5;5;178333,59;182766,11
309192_v2020;802950_1;46940296;6;6;178237,59;182734,11
309192_v2020;802950_1;48169096;7;7;178237,59;182766,11
309192_v2020;802950_1;51134600;8;8;178301,59;182734,11
309192_v2020;802950_1;51462280;9;9;178173,59;182702,11
309192_v2020;802950_1;52363400;10;10;178301,59;182766,11
309192_v2020;802950_1;55312520;11;11;178173,59;182766,11
309192_v2020;802950_1;64946312;12;12;178205,59;182798,11
315546_v2020;4713670_1;21490886;1;1;162685,59;179662,11
315546_v2020;4713670_1;25984198;2;;162717,59;179758,11
315546_v2020;4713670_1;31227078;3;2;162685,59;179726,11
315546_v2020;4713670_1;34372808;4;3;162749,59;179726,11
315546_v2020;4713670_1;48004296;5;4;162685,59;179694,11
315546_v2020;4713670_1;51150024;6;5;162717,59;179726,11
315546_v2020;4713670_1;63433928;7;6;162685,59;179598,11
315629_v2016;2139858_1;4761298;1;1;224509,59;188622,11
315629_v2016;2139858_1;38315728;2;2;224509,59;188590,11
315629_v2016;2139858_1;65840848;3;3;224541,59;188654,11
316609_v2016;5728454_1;14117062;1;1;168797,59;177646,11
316609_v2016;5728454_1;16214214;2;2;168861,59;177710,11
316609_v2016;5728454_1;22505670;3;3;168829,59;177710,11
316609_v2016;5728454_1;24602822;4;4;168861,59;177646,11
316609_v2016;5728454_1;30894278;5;5;168829,59;177678,11
316609_v2016;5728454_1;41380040;6;6;168861,59;177678,11
316609_v2016;5728454_1;47671496;7;7;168797,59;177678,11
316609_v2016;5728454_1;58157256;8;8;168893,59;177678,11
316609_v2016;5728454_1;64448712;9;9;168829,59;177646,11
316609_v2016;5728454_1;66545864;10;10;168893,59;177710,11
316746_v2016;5295334_1;22072550;1;1;216701,59;176014,11
316746_v2016;5295334_1;39898344;3;2;216765,59;176046,11
316746_v2016;5295334_1;44092648;5;3;216733,59;176014,11
316746_v2016;6343910_1;22072550;1;1;216701,59;176014,11
316746_v2016;6343910_1;39898344;3;2;216765,59;176046,11
316746_v2016;6343910_1;44092648;5;3;216733,59;176014,11
328476_v2016;1926866_1;2975442;1;1;223421,59;188302,11
328476_v2016;1926866_1;4024018;2;2;223421,59;188238,11
328476_v2016;1926866_1;6121170;3;3;223325,59;188174,11
328476_v2016;1926866_1;18704082;4;4;223357,59;188238,11
328476_v2016;1926866_1;19752658;5;5;223389,59;188270,11
328476_v2016;1926866_1;35481296;6;6;223325,59;188206,11
328476_v2016;1926866_1;36529872;7;7;223421,59;188270,11
328476_v2016;1926866_1;37578448;8;8;223389,59;188238,11
328476_v2016;1926866_1;38627024;9;9;223357,59;188270,11
328476_v2016;1926866_1;52258512;10;10;223357,59;188206,11
328476_v2016;1926866_1;60647120;11;11;223293,59;188174,11
328476_v2016;1926866_1;64841424;12;12;223293,59;188206,11
342352_v2020;732114_1;2829266;1;1;230781,59;194766,11
342352_v2020;732114_1;3353554;2;2;230813,59;194798,11
342352_v2020;732114_1;6499282;3;3;230717,59;194798,11
342352_v2020;732114_1;10693586;4;4;230781,59;194830,11
342352_v2020;732114_1;11217874;5;5;230717,59;194702,11
342352_v2020;732114_1;13315026;6;6;230813,59;194702,11
342352_v2020;732114_1;15412178;7;7;230781,59;194670,11
342352_v2020;732114_1;20130770;8;8;230813,59;194830,11
342352_v2020;732114_1;27470802;9;9;230749,59;194830,11
342352_v2020;732114_1;32189394;10;10;230749,59;194702,11
342352_v2020;732114_1;36383696;11;11;230749,59;194734,11
342352_v2020;732114_1;44248016;12;12;230749,59;194798,11
342352_v2020;732114_1;46869456;13;13;230813,59;194670,11
342352_v2020;732114_1;48966608;14;14;230749,59;194670,11
342352_v2020;732114_1;49490896;15;15;230813,59;194862,11
342352_v2020;732114_1;51063760;16;16;230813,59;194734,11
342352_v2020;732114_1;53160912;17;17;230781,59;194734,11
342352_v2020;732114_1;56830928;18;18;230717,59;194830,11
342352_v2020;732114_1;61025232;19;19;230781,59;194798,11
